stop,coordinates,route number
Uttam Nagar Terminal,"28.62560125392331,77.06551991130448",761
Vikas Puri Xing,"28.627502392611813,77.071854750463",761
Dholi Piao,"28.628968730020315,77.07558293351403",761
District Centre Najafgarh Road,"28.630157929990233,77.07815393717132",761
District Centre Outer Ring Road,"28.632744618661075,77.08108864054732",761
Kangra Niketan,"28.63519043280791,77.0803456198201",761
Krishna Park,"28.63923544041108,77.08157746333177",761
Manohar Nagar,"28.64294049042224,77.08302378201299",761
Major Bhupinder Singh Nagar,"28.647274716528088,77.08456312844551",761
Keshopur Depot,"28.653021393737003,77.08762914857992",761
Meera Bagh,"28.65884095529768,77.09098618235357",761
Sunder Apartment,"28.666096248005587,77.09231273601588",761
Peera Garhi Depot,"28.67599617053243,77.0939269986055",761
Peera Garhi Chowk,"28.683328229536205,77.09519179075974",761
Mangol Puri B-Block,"28.689132895313037,77.0961729900472",761
West Enclave,"28.693768937093857,77.10247695132914",761
Mangol Pur School,"28.695484592288565,77.10881996477539",761
Rohini Depot III,"28.69622544622534,77.11126800416275",761
Kali Mata Mandir,"28.697445827195043,77.11598220028127",761
Deepali Chowk,"28.698310792135747,77.11945523681831",761
Saraswati Vihar C-Block,"28.70017967747147,77.12484604699316",761
Madhuban Chowk,"28.701947194070712,77.12803673925836",761
